sample_,class,dilution,order,batch,id
20210503_029,healthy,1.0,317,9,20210503_029
20210503_031,healthy,1.0,318,9,20210503_031
20210503_033,healthy,1.0,319,9,20210503_033
20210503_035,QC,1.0,320,9,20210503_035
20210503_037,cancer,1.0,321,9,20210503_037
20210503_039,cancer,1.0,322,9,20210503_039
20210503_041,cancer,1.0,323,9,20210503_041
20210503_043,healthy,1.0,324,9,20210503_043
20210503_045,cancer,1.0,325,9,20210503_045
20210503_047,QC,1.0,326,9,20210503_047
20210503_049,benign,1.0,327,9,20210503_049
20210503_051,cancer,1.0,328,9,20210503_051
20210503_053,healthy,1.0,329,9,20210503_053
20210503_055,benign,1.0,330,9,20210503_055
20210503_057,healthy,1.0,331,9,20210503_057
20210503_059,QC,1.0,332,9,20210503_059
20210503_061,healthy,1.0,333,9,20210503_061
20210503_063,benign,1.0,334,9,20210503_063
20210503_065,cancer,1.0,335,9,20210503_065
20210503_067,cancer,1.0,336,9,20210503_067
20210503_069,SRM,1.0,337,9,20210503_069
20210503_071,QC,1.0,338,9,20210503_071
20210503_073,QC,1.0,339,9,20210503_073
20210503_075,process blank,1.0,340,9,20210503_075
20210503_077,solvent,1.0,341,9,20210503_077
20210504_003,solvent,1.0,343,10,20210504_003
20210504_005,process blank,1.0,344,10,20210504_005
20210504_019,QC,1.0,351,10,20210504_019
20210504_021,QC,1.0,352,10,20210504_021
20210504_023,QC,1.0,353,10,20210504_023
20210504_025,healthy,1.0,354,10,20210504_025
20210504_027,cancer,1.0,355,10,20210504_027
20210504_029,benign,1.0,356,10,20210504_029
20210504_031,cancer,1.0,357,10,20210504_031
20210504_033,healthy,1.0,358,10,20210504_033
20210504_035,QC,1.0,359,10,20210504_035
20210504_037,post-surgery,1.0,360,10,20210504_037
20210504_039,cancer,1.0,361,10,20210504_039
20210504_041,cancer,1.0,362,10,20210504_041
20210504_043,benign,1.0,363,10,20210504_043
20210504_045,healthy,1.0,364,10,20210504_045
20210504_047,QC,1.0,365,10,20210504_047
20210504_049,healthy,1.0,366,10,20210504_049
20210504_051,healthy,1.0,367,10,20210504_051
20210504_053,cancer,1.0,368,10,20210504_053
20210504_055,healthy,1.0,369,10,20210504_055
20210504_057,cancer,1.0,370,10,20210504_057
20210504_059,QC,1.0,371,10,20210504_059
20210504_061,healthy,1.0,372,10,20210504_061
20210504_063,benign,1.0,373,10,20210504_063
20210504_065,post-surgery,1.0,374,10,20210504_065
20210504_067,cancer,1.0,375,10,20210504_067
20210504_069,SRM,1.0,376,10,20210504_069
20210504_071,QC,1.0,377,10,20210504_071
20210504_073,QC,1.0,378,10,20210504_073
20210504_075,process blank,1.0,379,10,20210504_075
20210504_077,solvent,1.0,380,10,20210504_077
20210505_003,solvent,1.0,382,11,20210505_003
20210505_005,process blank,1.0,383,11,20210505_005
20210505_019,QC,1.0,390,11,20210505_019
20210505_021,QC,1.0,391,11,20210505_021
20210505_023,QC,1.0,392,11,20210505_023
20210505_025,cancer,1.0,393,11,20210505_025
20210505_027,post-surgery,1.0,394,11,20210505_027
20210505_029,cancer,1.0,395,11,20210505_029
20210505_031,cancer,1.0,396,11,20210505_031
20210505_033,post-surgery,1.0,397,11,20210505_033
20210505_035,QC,1.0,398,11,20210505_035
20210505_037,cancer,1.0,399,11,20210505_037
20210505_039,healthy,1.0,400,11,20210505_039
20210505_041,healthy,1.0,401,11,20210505_041
20210505_043,healthy,1.0,402,11,20210505_043
20210505_045,healthy,1.0,403,11,20210505_045
20210505_047,QC,1.0,404,11,20210505_047
20210505_049,cancer,1.0,405,11,20210505_049
20210505_051,healthy,1.0,406,11,20210505_051
20210505_053,benign,1.0,407,11,20210505_053
20210505_055,benign,1.0,408,11,20210505_055
20210505_057,cancer,1.0,409,11,20210505_057
20210505_059,QC,1.0,410,11,20210505_059
20210505_061,healthy,1.0,411,11,20210505_061
20210505_063,healthy,1.0,412,11,20210505_063
20210505_065,benign,1.0,413,11,20210505_065
20210505_067,cancer,1.0,414,11,20210505_067
20210505_069,SRM,1.0,415,11,20210505_069
20210505_071,QC,1.0,416,11,20210505_071
20210505_073,QC,1.0,417,11,20210505_073
20210505_075,process blank,1.0,418,11,20210505_075
20210505_077,solvent,1.0,419,11,20210505_077
20210512_003,solvent,1.0,421,12,20210512_003
20210512_005,process blank,1.0,422,12,20210512_005
20210512_019,QC,1.0,429,12,20210512_019
20210512_021,QC,1.0,430,12,20210512_021
20210512_023,QC,1.0,431,12,20210512_023
20210512_025,healthy,1.0,432,12,20210512_025
20210512_027,cancer,1.0,433,12,20210512_027
20210512_029,benign,1.0,434,12,20210512_029
20210512_031,healthy,1.0,435,12,20210512_031
20210512_033,benign,1.0,436,12,20210512_033
20210512_035,QC,1.0,437,12,20210512_035
20210512_037,healthy,1.0,438,12,20210512_037
20210512_039,cancer,1.0,439,12,20210512_039
20210512_041,healthy,1.0,440,12,20210512_041
20210512_043,cancer,1.0,441,12,20210512_043
20210512_045,cancer,1.0,442,12,20210512_045
20210512_047,QC,1.0,443,12,20210512_047
20210512_049,cancer,1.0,444,12,20210512_049
20210512_051,cancer,1.0,445,12,20210512_051
20210512_053,benign,1.0,446,12,20210512_053
20210512_055,healthy,1.0,447,12,20210512_055
20210512_057,post-surgery,1.0,448,12,20210512_057
20210512_059,QC,1.0,449,12,20210512_059
20210512_061,post-surgery,1.0,450,12,20210512_061
20210512_063,cancer,1.0,451,12,20210512_063
20210512_065,healthy,1.0,452,12,20210512_065
20210512_067,healthy,1.0,453,12,20210512_067
20210512_069,SRM,1.0,454,12,20210512_069
20210512_071,QC,1.0,455,12,20210512_071
20210512_073,QC,1.0,456,12,20210512_073
20210512_075,process blank,1.0,457,12,20210512_075
20210512_077,solvent,1.0,458,12,20210512_077
20210513_003,solvent,1.0,460,13,20210513_003
20210513_005,process blank,1.0,461,13,20210513_005
20210513_019,QC,1.0,468,13,20210513_019
20210513_021,QC,1.0,469,13,20210513_021
20210513_023,QC,1.0,470,13,20210513_023
20210513_025,healthy,1.0,471,13,20210513_025
20210513_027,cancer,1.0,472,13,20210513_027
20210513_029,healthy,1.0,473,13,20210513_029
20210513_031,cancer,1.0,474,13,20210513_031
20210513_033,healthy,1.0,475,13,20210513_033
20210513_035,QC,1.0,476,13,20210513_035
20210513_037,cancer,1.0,477,13,20210513_037
20210513_039,benign,1.0,478,13,20210513_039
20210513_041,healthy,1.0,479,13,20210513_041
20210513_043,cancer,1.0,480,13,20210513_043
20210513_045,healthy,1.0,481,13,20210513_045
20210513_047,QC,1.0,482,13,20210513_047
20210513_049,cancer,1.0,483,13,20210513_049
20210513_051,post-surgery,1.0,484,13,20210513_051
20210513_053,benign,1.0,485,13,20210513_053
20210513_055,cancer,1.0,486,13,20210513_055
20210513_057,healthy,1.0,487,13,20210513_057
20210513_059,QC,1.0,488,13,20210513_059
20210513_061,healthy,1.0,489,13,20210513_061
20210513_063,benign,1.0,490,13,20210513_063
20210513_065,cancer,1.0,491,13,20210513_065
20210513_067,healthy,1.0,492,13,20210513_067
20210513_069,SRM,1.0,493,13,20210513_069
20210513_071,QC,1.0,494,13,20210513_071
20210513_073,QC,1.0,495,13,20210513_073
20210513_075,process blank,1.0,496,13,20210513_075
20210513_077,solvent,1.0,497,13,20210513_077
20210517_003,solvent,1.0,499,14,20210517_003
20210517_005,process blank,1.0,500,14,20210517_005
20210517_019,QC,1.0,507,14,20210517_019
20210517_021,QC,1.0,508,14,20210517_021
20210517_023,QC,1.0,509,14,20210517_023
20210517_025,healthy,1.0,510,14,20210517_025
20210517_027,healthy,1.0,511,14,20210517_027
20210517_029,benign,1.0,512,14,20210517_029
20210517_031,healthy,1.0,513,14,20210517_031
20210517_033,healthy,1.0,514,14,20210517_033
20210517_035,QC,1.0,515,14,20210517_035
20210517_037,cancer,1.0,516,14,20210517_037
20210517_039,cancer,1.0,517,14,20210517_039
20210517_041,cancer,1.0,518,14,20210517_041
20210517_043,benign,1.0,519,14,20210517_043
20210517_045,healthy,1.0,520,14,20210517_045
20210517_047,QC,1.0,521,14,20210517_047
20210517_049,cancer,1.0,522,14,20210517_049
20210517_051,benign,1.0,523,14,20210517_051
20210517_053,cancer,1.0,524,14,20210517_053
20210517_055,cancer,1.0,525,14,20210517_055
20210517_057,post-surgery,1.0,526,14,20210517_057
20210517_059,QC,1.0,527,14,20210517_059
20210517_061,healthy,1.0,528,14,20210517_061
20210517_063,cancer,1.0,529,14,20210517_063
20210517_065,post-surgery,1.0,530,14,20210517_065
20210517_067,healthy,1.0,531,14,20210517_067
20210517_069,SRM,1.0,532,14,20210517_069
20210517_071,QC,1.0,533,14,20210517_071
20210517_073,QC,1.0,534,14,20210517_073
20210517_075,process blank,1.0,535,14,20210517_075
20210517_077,solvent,1.0,536,14,20210517_077
20210603_003,solvent,1.0,577,16,20210603_003
20210603_005,process blank,1.0,578,16,20210603_005
20210603_019,QC,1.0,585,16,20210603_019
20210603_021,QC,1.0,586,16,20210603_021
20210603_023,QC,1.0,587,16,20210603_023
20210603_025,healthy,1.0,588,16,20210603_025
20210603_027,benign,1.0,589,16,20210603_027
20210603_029,post-surgery,1.0,590,16,20210603_029
20210603_031,benign,1.0,591,16,20210603_031
20210603_033,cancer,1.0,592,16,20210603_033
20210603_035,QC,1.0,593,16,20210603_035
20210603_037,cancer,1.0,594,16,20210603_037
20210603_039,cancer,1.0,595,16,20210603_039
20210603_041,cancer,1.0,596,16,20210603_041
20210603_043,cancer,1.0,597,16,20210603_043
20210603_045,healthy,1.0,598,16,20210603_045
20210603_047,QC,1.0,599,16,20210603_047
20210603_049,cancer,1.0,600,16,20210603_049
20210603_051,healthy,1.0,601,16,20210603_051
20210603_053,healthy,1.0,602,16,20210603_053
20210603_055,cancer,1.0,603,16,20210603_055
20210603_057,healthy,1.0,604,16,20210603_057
20210603_059,QC,1.0,605,16,20210603_059
20210603_061,benign,1.0,606,16,20210603_061
20210603_063,healthy,1.0,607,16,20210603_063
20210603_065,post-surgery,1.0,608,16,20210603_065
20210603_067,healthy,1.0,609,16,20210603_067
20210603_069,SRM,1.0,610,16,20210603_069
20210603_071,QC,1.0,611,16,20210603_071
20210603_073,QC,1.0,612,16,20210603_073
20210603_075,process blank,1.0,613,16,20210603_075
20210603_077,solvent,1.0,614,16,20210603_077
20210607_003,solvent,1.0,616,17,20210607_003
