feature,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-0018,,201.02537408131252,201.0308728675657,201.0199539254928,0.001676541165275387,30.53851517127349,33.695033485666926,33.14124067986506,28.823951272241004,26.942600626207543,0.6198597624134363
FT-0019,,220.87219779413653,220.8833433331054,220.85515467569627,0.005689992553026204,33.30456668714512,37.4273568843691,33.755822897156776,31.607210090246628,28.74721662017415,0.34533331133531986
FT-0021,,253.04875560351178,253.05376807681787,253.04318177785063,0.0017366695340277501,31.036208209347055,36.00897645951176,32.87248120285083,29.205650458630537,27.061000059649412,0.7393659860337057
FT-0022,,158.84617756029658,158.8509330615729,158.84256083318152,0.0010511819424514112,31.466365459056767,33.91614749790843,32.26556382306424,30.693941535209497,28.035926432269456,0.324507063148171
FT-0023,,140.89663255934647,140.9014925850255,140.89276343318656,0.001185862457458205,31.5780782177767,36.50459011260942,33.679555100341396,29.50415803319448,27.623713272838977,0.9468062889167771
FT-0024,FT-0263,360.83425316561596,360.84453704433264,360.82618695074046,0.0028819805711626377,33.0422106384808,38.427116937117034,33.7565861776917,29.800382041958724,27.455105008909996,0.6870465340281063
FT-0025,,157.86354816729983,157.8678897992914,157.85950769359036,0.0014443857835211066,31.08124666098096,34.13516469692684,33.53307213915763,29.80547077849918,27.44021710990184,0.8147146423307394
FT-0026,,186.88304667560246,186.88756498338634,186.8781951780595,0.001234943488462306,31.985323095533595,37.03090604984035,33.71380282654731,29.842213596567337,27.25100785321684,0.8854353990233816
FT-0027,,162.83891153104494,162.84296815805112,162.8352708175332,0.0009564129947628915,31.498620138150343,34.01132722598465,32.97286817228499,29.891488326227574,27.34676736047792,0.357112245660804
FT-0028,,141.867532124724,141.87001099102082,141.8634833221451,0.0010133517143199793,31.772070888551884,35.674689823279344,33.7097425002116,30.133647335067174,27.611448971604,0.9613739629917537
FT-0029,,225.84598989885387,225.85146362549295,225.8421772058123,0.0015151614143616356,31.784495254920287,35.71274158359175,33.73309619709203,30.73421971642712,28.0286332294305,0.7004074225862924
FT-0030,,143.86464785709393,143.86828259543697,143.86030540764415,0.0011378053959439434,31.899678583204064,36.055868311638434,33.75425413506538,30.217241304185297,27.71649754339112,0.9855904708629476
FT-0031,,184.885490028635,184.8909879974252,184.88062322293766,0.0012904340342895916,31.987819700648895,37.064036422367316,33.74416874011232,30.370354111555958,27.306163645206176,0.9075193513182911
FT-0032,,134.89394891405078,134.8983645961494,134.88841134534582,0.0015341891949215384,31.59742278184807,34.98908606223312,33.44830963733004,30.32936835374331,28.040895858250057,0.3579836844824938
FT-0033,,163.83923410284564,163.84223844532886,163.8353454356594,0.0011733054565090818,31.41692621884865,33.999859369729485,32.661666194562315,30.403557206581397,27.96639307951,0.34955680686030205
