,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-2285,,249.12328722820573,249.1280842558681,249.11793936971807,0.0014407496696202,232.03976494059205,262.62720409949094,234.0399376878482,229.97755655456072,224.16135212884083,0.7354897891607876
FT-2289,,274.1105164403014,274.116126502984,274.1047187952672,0.0017253851098775,231.9161780510817,238.62597360611463,234.20345933492789,230.1725502287924,227.3047035217254,0.7034354664555268
FT-2290,,278.1579528358348,278.1629477506644,278.15273551049864,0.0016988873108143,234.34395438244007,239.9105597874332,238.0093876759706,230.30869171325543,229.69242455573055,2.292903483067925
FT-2292,,161.10708150422323,161.11055303155794,161.1032315345907,0.0012027137417166,231.5080921691986,237.72748066829192,233.4784213416449,230.3652874630505,226.234481242985,0.6451602905701624
FT-2294,,277.1545032336118,277.16015476221315,277.1491012673079,0.0015307324134292,234.27003187795455,242.35660289705743,239.01754519125012,230.6126935445707,228.84960645874435,2.2139425843197142
FT-2295,,329.20686026311296,329.2115334903769,329.20081693793827,0.0019168250255266,233.45066745118496,240.2777252026989,236.3597119640293,231.4934143169435,228.70348530155485,0.902909478068189
FT-2296,,423.2596661297188,423.2657656291316,423.2537861072257,0.0019624422151094,238.3767098631428,244.9854154290292,241.3611712715711,234.19658124085373,233.296979523692,1.81128089908204
FT-2297,,119.04962113055258,119.05347980503902,119.04592073697566,0.0009490900656694,239.44205177246585,246.93191275256575,242.6795213777038,235.3700616753528,233.5804759313816,1.4684649626746016
FT-2300,,199.0061034095879,199.0103304625152,199.00156577975596,0.0011646555086464,239.3147936325483,249.8233354030482,242.5898874910929,236.34556795186543,232.62197993352072,1.4575193282333685
FT-2302,,369.1540849258244,369.159883143058,369.1478770740428,0.001644607274718,238.18368238126357,249.386061925152,240.3035614858312,236.8047535031588,231.9110482472645,0.5478704427867046
FT-2303,,370.1575310554183,370.1623642203997,370.1514227583696,0.0018090529141804,237.99304418001677,245.2353088138165,239.75670886105905,236.8676294757142,232.36984901058,0.5405631988016065
FT-2306,,97.0652592858512,97.06836550237516,97.06282197274167,0.0008390212910152,240.58145554108023,246.93714633772424,243.1059843098208,238.56755942883447,235.730909848519,0.7980155901399384
FT-2307,,218.11019522322343,218.1148700905329,218.10654422596124,0.0014666954607651,240.4005039855168,244.9431961435091,242.6209995131492,238.8912039657093,236.32652213536787,0.7389292946616053
FT-2311,,158.0602226075723,158.06354617476802,158.05667682188485,0.0012007276764567,241.56245606026292,247.9038092033109,243.42668010998025,240.0927109904085,236.36625058872397,0.616092770052114
FT-2312,,205.06892035062685,205.073548920713,205.0643038185977,0.0012199675812275,241.6426352371922,248.9110732731688,243.5469266133217,240.2222644248934,236.1789271439626,0.5799141160133755
FT-2313,,185.08118148665267,185.0843900366453,185.0781720735885,0.0012062502716761,243.3536098179985,250.106514205391,246.4639286921346,240.501605048263,237.53571792387928,1.3075598045439751
FT-2314,,508.74296719585567,508.7513209337166,508.7345156895837,0.0029594114451023,244.42240992083003,252.94465347871775,248.59590898806823,240.71580966655875,239.2102324356493,1.7489347628049454
FT-2315,,204.06559387569772,204.0695844766899,204.06175536952333,0.0010994407158368,242.2839880548303,257.3912269134515,244.13844051365527,240.96673776730196,234.67782568359715,0.5276413156713023
FT-2318,,153.0912719279013,153.0952091351213,153.08771157387605,0.0012651728120888,245.49649287325,251.21043341038373,247.5811295869792,244.15048334508637,240.332166849565,0.6313172829087614
FT-2320,,330.2020642160374,330.20815176174045,330.1962940116525,0.0019372650075869,247.56298837480904,254.3072395876436,251.5971639264266,243.63812013400195,242.82574919629684,2.2886971574545347
FT-2321,,273.0418854225881,273.0473172763058,273.0363784543159,0.0016457453299271,252.19429596949524,258.53866200555444,256.7468339035467,243.99790749201543,246.6171861372167,2.365455159845904
FT-2323,,748.3698935558006,748.3794497379009,748.3576716438375,0.0042197223722835,247.88050994283003,254.74223115826572,250.9152964580461,244.9240810667039,243.21315528280013,1.7056237415244415
FT-2324,,747.3665462047762,747.3780261588731,747.352663740499,0.0040163239758436,247.7504451356737,255.22029607553708,251.1287888506901,244.9883111339152,242.970750257118,1.6327820946291556
FT-2329,,233.1280278831003,233.1335010846619,233.1230420661829,0.0016190152569197,250.27111035215532,255.5644940285833,251.87847120011244,248.52654876823516,245.56485565909009,0.6042151728920444
FT-2335,,232.12612907817245,232.13033061556112,232.12076193648167,0.0013641661392051,250.45455664218312,259.2028090838453,252.73148260174128,248.81491844917156,243.97258040405336,0.6566278753159693
FT-2336,,259.0086555995084,259.012509515374,259.00384634382044,0.0014702253402731,252.0132494862453,262.2695561223342,256.028267369898,248.88677678702055,244.3837167752678,1.50062481488835
FT-2338,,285.04185822785865,285.0478749715247,285.0354319783847,0.0017787246322525,250.35583227451272,256.894168203529,252.5387460563637,249.0615529508328,245.47582360338265,0.678723042089396
FT-2339,,231.1227436947583,231.12721889746783,231.11783584992375,0.0014246953919431,250.6630613520732,265.2534314973741,252.62671816935944,249.1088683835361,242.4320484380297,0.6669558824527261
FT-2341,,503.1570524702591,503.1638066623142,503.1490111542246,0.0027559770881669,251.7715322690248,257.1790812232304,253.4816453003829,250.178167783024,247.20956091446453,0.7314224477040365
FT-2343,,228.9797172492976,228.9852191540161,228.974068558782,0.0016905696916483,252.93122839695093,259.0251513969059,256.4677974706067,250.36366196174964,248.04053971933084,1.0981183600759634
FT-2344,,131.0345161484063,131.03686885706375,131.03075558831264,0.0010824169709322,252.76570244734287,258.9289176043334,255.3637810613723,250.4587978328028,247.9668480929132,0.7666278199218183
FT-2345,,69.03368557989492,69.03670827696872,69.0308342711778,0.0008134834606643,252.7826163295275,259.77218204870934,255.81817720315152,250.54255873014705,247.76179564625696,0.7543662072970396
FT-2346,,169.08633258734142,169.09092232838813,169.0826503450547,0.0011321336579598,252.69572268824243,258.34111879038323,255.55049895551244,250.57927337739585,248.05478147757347,0.8734307427419186
FT-2348,,160.1052793230528,160.10911423011453,160.1005254069221,0.0012250347623343,253.25052774518844,258.7033337282846,255.64117577945476,250.69436182378735,248.53754905332363,0.7742398834679088
FT-2351,,309.0008181936691,309.0084501219416,308.99482386924683,0.0024522023183356,252.82920873677108,258.60535597438206,255.3672932107404,250.88498288327645,248.23387896348245,0.8285755413694129
