,Charge,Chromatographic peak width (min),Highest Mean,Identifications,Isotope Distribution,Lowest Mean,Max Fold Change,Maximum Abundance,Minimum CV%,Neutral mass (Da),mz,rt
11.96_652.3269m/z,1,0.434283333333333,postcirugia,0,100 - 48.5,process blank,inf,34.6901764351059,126.07,,652.326928677512,717.364999999998
11.97_285.8872m/z,1,0.750133333333332,sss,0,100 - 9.75,2,172.870218352435,725.195877347365,14.39,,285.887166701791,718.38
11.97_465.3566m/z,1,0.55265,0,0,100 - 24.2 - 32.8,process blank,inf,501.3755033813,6.11,,465.356625736157,718.38
11.97_481.3167m/z,3,0.0338166666666666,calibration,0,100 - 59.5,2,inf,13.5176037284215,82.55,,481.316676649662,718.38
11.97_486.3869m/z,1,0.135300000000001,control,0,100 - 0.783,zero,inf,5.11768009152698,86.63,,486.386884553632,718.38
11.97_585.3098m/z,1,0.186033333333334,prostatitis,0,100 - 21.5,solvent,inf,11.4727363204122,86.46,,585.30978401038,718.38
11.99_149.0090m/z,1,0.118399999999999,16,0,100 - 12.6,calibration,inf,786.546429524251,13.35,,149.009020490223,719.395000000002
11.99_180.0609n,1,0.304449999999999,solvent,0,100 - 17.2 - 13.6 - 2.04,ltrs,25.0376440938717,802.783077508619,9.5,180.060929653629,239.059214375702,719.395000000002
11.99_242.0451n,1,0.332799999999999,solvent,0,100 - 17.4 - 10 - 1.29,ltrs,104.39135446174,726.588153295616,5.25,242.045142198782,223.027301078782,719.395000000002
11.99_242.2197m/z,1,0.383533333333332,zero,0,100 - 0.252,1,15.3667226550015,571.234199816516,9.42,,242.219721636756,719.395000000002
11.99_497.0906m/z,1,0.118399999999999,solvent,0,100 - 43.3 - 65,cQC,inf,45.4644255068475,301.12,,497.090565862028,719.395000000002
11.99_708.4447m/z,1,0.152216666666666,postcirugia,0,100 - 33.5,2,inf,13.2632726204247,130.48,,708.444667661489,719.395000000002
12.02_243.8179m/z,1,1.70325,CRM,0,100 - 70.1,zero,136.833229152194,459.373302958665,30.06,,243.817878009922,721.423999999998
12.02_417.3006m/z,1,0.772533333333334,prostatitis,0,100 - 19.1 - 59.1,2,inf,156.4340512016,26.66,,417.300631204732,721.423999999998
12.02_483.3677m/z,1,0.315883333333334,0,0,100 - 19.8 - 63.5,solvent,inf,154.624497867179,13.42,,483.367698259529,721.423999999998
